id,name,currentTribe,priority,method,cost,attack,hp,text,imageUrl,reason,manualAnswer
card_f9015853,いいえ,なし,高,db_explicit_none,0,0,0,ランダムな敵1体に4ダメージ、このユニットは「相手のターン開始時ランダムな敵1体に4ダメージ」を得る,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_4ab4223a,いのりのゆびわ,なし,高,db_explicit_none,0,0,0,味方リーダーのMPを2回復。自分のターン終了時70%の確率でいのりのゆびわを1枚手札に加える,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_660bed56,せみもぐら,なし,高,db_explicit_none,0,0,1,におうだち,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_c92b4cda,はい,なし,高,db_explicit_none,0,0,0,選択したプレイヤーは敗北する,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_a64a1c61,まほうおばば,なし,高,db_explicit_none,0,1,1,召喚時：自分のデッキの1番上のカード残すとが奇数ならそのカードをデッキの一番下に移動させる。偶数なら味方リーダーのHPを1回復する。,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_79b87cb3,やくそう,なし,高,db_explicit_none,0,0,0,HPを1回復,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_e753e7e3,ジゴデイン,なし,高,db_explicit_none,0,0,0,横一列にいる全ての敵ユニットと敵リーダーに5ダメージ,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_252601dd,タマゴ,なし,高,db_explicit_none,0,0,0,全ての敵に３ダメージ。相手がタマゴを選んだ場合こうの効果は発動しない。,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_1c5c5c71,ニワトリ,なし,高,db_explicit_none,0,0,0,敵リーダーに3ダメージ。カードを２枚引く。 相手がニワトリを選んだ場合この効果は発動しない。,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
card_c05416f1,マッスルアニマル,なし,高,db_explicit_none,0,1,1,,,v136分類: なし / 推定方法: db_explicit_none / 名前/説明だけでは系統なしと断定しにくい,
