id,name,currentTribe,cardType,cost,attack,hp,text,imageUrl,reason,manualAnswer
card_660bed56,せみもぐら,なし,ユニット,0,0,1,におうだち,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_a64a1c61,まほうおばば,なし,ユニット,0,1,1,召喚時：自分のデッキの1番上のカード残すとが奇数ならそのカードをデッキの一番下に移動させる。偶数なら味方リーダーのHPを1回復する。,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_c05416f1,マッスルアニマル,なし,ユニット,0,1,1,,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_a753c7d2,未熟なベビーサタン,なし,ユニット,0,1,1,占い：(1)イオナズンを唱える、(2)メガンテを唱える,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_e7aa3b04,あくまのツボ,なし,ユニット,1,2,1,召喚時：指定の敵マスにツボを１つ出す,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_e084603d,あばれうしどり,なし,ユニット,1,2,1,占い：①攻撃力+1と貫通を得る、②速攻を得る,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_205cdb83,あばれこまいぬ,なし,ユニット,1,3,2,召喚時：カードを1枚捨てる,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_c762fb53,いたずらもぐら,なし,ユニット,1,1,1,テンションリンク： 攻撃力+1,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_ca1467a2,うらぎりこぞう,なし,ユニット,1,1,3,自分が手札からカードを捨てる度このターン中攻撃力+1,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_b967603e,おおありくい,なし,ユニット,1,1,3,絶好調状態の味方ユニットが攻撃する度このターン中味方リーダーは攻撃力+1を得る,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_4d7fa9dd,おおくちばし,なし,ユニット,1,2,1,召喚時：後列にいるユニット1体に1ダメージ,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_7cf29b7b,おおさそり,なし,ユニット,1,1,2,召喚時:地形マスに召喚された場合+1/+2,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_1322ef2c,おばけキャンドル,なし,ユニット,1,2,1,死亡時：ランダムな敵1体に1ダメージ,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_dd2f4cdc,おばけヒトデ,なし,ユニット,1,1,1,死亡時：ランダムな味方ユニット1体の攻撃力+2,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_dc1b77fa,かくとうパンサー,なし,ユニット,1,2,1,召喚時：武術カード1枚を手札に加える,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_a649d91a,かわいいモーモン,なし,ユニット,1,1,1,召喚時：このユニットに作戦を出す,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_76df765d,くみひもこぞう,なし,ユニット,1,1,1,スキルブースト：攻撃力+1,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_3e93256f,ぐんたいアリ,なし,ユニット,1,1,1,死亡時：アイアンアントをこのマスに出す,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_4f51ef82,さつじんえい,なし,ユニット,1,2,1,死亡時：道具カード1枚を手札に加える,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_773b2a31,つちわらし,なし,ユニット,1,1,1,召喚時：ターン終了時このユニットの前後に自身のコピーを出す,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_a4c5f8ef,とうのへいたい,なし,ユニット,1,1,2,におうだち、召喚時:後列１マスの地形をすべる床に変える。 この効果で地形の上書きはできない。,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_94fdbc76,とげぼうず,なし,ユニット,1,1,2,絶好調、このユニットが絶好調状態なら攻撃力+2を得る,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_d13eb6d5,とつげきうお,なし,ユニット,1,1,1,速攻,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_ccef8f4b,どくあおむし,なし,ユニット,1,1,1,召喚時：敵ユニット1体を毒にする,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_1fab9780,ねこまどう,なし,ユニット,1,0,2,自分のターン終了時ランダムな敵1体に1ダメージ,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_2cb4a0a1,はさみくわがた,なし,ユニット,1,2,2,におうだち,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_44193806,はりせんもぐら,なし,ユニット,1,2,1,死亡時：味方リーダーのテンション+1,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_4fab031d,ばくだんベビー,なし,ユニット,1,1,1,死亡時：全てのユニットに1ダメージ,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_13658a44,ふゆうじゅ,なし,ユニット,1,1,3,死亡時：ランダムな味方ユニット1体のHP+1,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_d29f59a3,みならいあくま,なし,ユニット,1,1,2,自分が特技を使う度ランダムな敵1体に1ダメージ,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_03f70ef3,やまねずみ,なし,ユニット,1,1,1,,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_a165257c,やみしばり,なし,ユニット,1,0,2,ステルス、自分のターン終了時このユニットがステルス状態なら攻撃力+1,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_521e84df,ゆめにゅうどう,なし,ユニット,1,2,1,召喚時：後列にいるユニット1体を前列に移動させる,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_64609c1d,わらいぐさ,なし,ユニット,1,1,1,死亡時：自分のデッキからユニットカードを1枚引く,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_5c962cf6,アイアンアント,なし,ユニット,1,0,1,攻撃時：このターン中攻撃力+1,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_34ee96db,アイスコンドル,なし,ユニット,1,2,1,召喚時：ランダムな敵の空きマスに氷塊を1つ出す,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_c21c039d,アントベア,なし,ユニット,1,1,2,召喚時:味方リーダーのテンションを1消費する。 消費した後+1/+1を得る。,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
token_strawberry_bomb,イチゴ爆弾,なし,ユニット,1,0,3,"攻撃できない。
死亡時：隣接するユニットに2ダメージを与える。",./assets/custom_cards/strawberry_bomb.png,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_95f69f39,オニオーン,なし,ユニット,1,1,2,テンションリンク：味方リーダーのHPを1回復,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_dfeb4cd3,オニムカデ,なし,ユニット,1,1,1,召喚時:自分のデッキからダンジョンを持つ建物カードを1枚引く。大戦中にダンジョンを持つ味方建物が出ていたら代わりにカードを1枚引く,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_8f33cf11,カメレオンマン,なし,ユニット,1,1,2,味方リーダーが攻撃する度攻撃力+1,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
card_f64215af,ガップリン,なし,ユニット,1,1,1,豊作のじんめんじゅの効果で場に出るユニット,,ユニットカードかつ現在 tribe=なし。必要なら ゾンビ/スライム/ドラゴン/冒険者/魔王/なし を回答してください。,
