name,currentTribe,cardType,cost,attack,hp,text,officialDbPage,officialDbSearchQuery,manualAnswer
アントベア,なし,ユニット,1,1,2,召喚時:味方リーダーのテンションを1消費する。 消費した後+1/+1を得る。,,アントベア ドラゴンクエストライバルズ 攻略データベース,
イチゴ爆弾,なし,ユニット,1,0,3,"攻撃できない。
死亡時：隣接するユニットに2ダメージを与える。",,イチゴ爆弾 ドラゴンクエストライバルズ 攻略データベース,
オニオーン,なし,ユニット,1,1,2,テンションリンク：味方リーダーのHPを1回復,,オニオーン ドラゴンクエストライバルズ 攻略データベース,
オニムカデ,なし,ユニット,1,1,1,召喚時:自分のデッキからダンジョンを持つ建物カードを1枚引く。大戦中にダンジョンを持つ味方建物が出ていたら代わりにカードを1枚引く,,オニムカデ ドラゴンクエストライバルズ 攻略データベース,
カメレオンマン,なし,ユニット,1,1,2,味方リーダーが攻撃する度攻撃力+1,,カメレオンマン ドラゴンクエストライバルズ 攻略データベース,
ガップリン,なし,ユニット,1,1,1,豊作のじんめんじゅの効果で場に出るユニット,,ガップリン ドラゴンクエストライバルズ 攻略データベース,
キラースコップ,なし,ユニット,1,1,2,召喚時:お互いのデッキのランダムなユニットカード1枚を比べ 自分の方がコストが高いならGET(1)、BET:攻撃力+1,,キラースコップ ドラゴンクエストライバルズ 攻略データベース,
サボテンゴールド,なし,ユニット,1,0,1,,,サボテンゴールド ドラゴンクエストライバルズ 攻略データベース,
スパイクヘッド,なし,ユニット,1,2,3,召喚時：相手はカードを1枚引く,,スパイクヘッド ドラゴンクエストライバルズ 攻略データベース,
スマイルロック,なし,ユニット,1,2,2,絶好調、攻撃時：このユニットが絶好調状態ならテンション+1,,スマイルロック ドラゴンクエストライバルズ 攻略データベース,
スモーク,なし,ユニット,1,0,2,絶好調、このユニットが絶好調状態なら攻撃力+2とにおうだちを得る,,スモーク ドラゴンクエストライバルズ 攻略データベース,
タホドラキー,なし,ユニット,1,2,1,召喚時：カードを1枚引く。その後自分の手札から1枚選び自分のデッキに混ぜる,,タホドラキー ドラゴンクエストライバルズ 攻略データベース,
テンタコルス,なし,ユニット,1,1,1,自分のターン終了時全ての味方のHPを1回復,,テンタコルス ドラゴンクエストライバルズ 攻略データベース,
デスファレーナ,なし,ユニット,1,1,1,占い：(1)攻撃力+2、(2)HP+2,,デスファレーナ ドラゴンクエストライバルズ 攻略データベース,
デンダの子分,なし,ユニット,1,1,1,,,デンダの子分 ドラゴンクエストライバルズ 攻略データベース,
ドルマゲスの分身,なし,ユニット,1,1,1,,,ドルマゲスの分身 ドラゴンクエストライバルズ 攻略データベース,
ビッグハット,なし,ユニット,1,1,3,,,ビッグハット ドラゴンクエストライバルズ 攻略データベース,
ピッキー,なし,ユニット,1,2,1,いずれかのプレイヤーのヒーロースキルが発動する度両プレイヤーはカードを1枚引く,,ピッキー ドラゴンクエストライバルズ 攻略データベース,
フェアリーバット,なし,ユニット,1,1,1,召喚時：後列にいるすべての敵ユニットを前列に移動させる。,,フェアリーバット ドラゴンクエストライバルズ 攻略データベース,
フォンデュ,なし,ユニット,1,2,1,召喚時：味方冒険者1体を+1/+1,,フォンデュ ドラゴンクエストライバルズ 攻略データベース,
ブラックタヌー,なし,ユニット,1,1,2,,,ブラックタヌー ドラゴンクエストライバルズ 攻略データベース,
ブレッドハンド,なし,ユニット,1,3,3,この武器の攻撃で敵ユニットが死亡した場合大きなパン1枚を手札に加える,,ブレッドハンド ドラゴンクエストライバルズ 攻略データベース,
