no,id,name,currentTribe,cardType,cost,attack,hp,text,imageUrl,officialDbPage,officialDbSearchQuery,manualAnswer
1,card_3bcff462,きめんどうし,なし,ユニット,2,2,3,召喚時：自分のデッキの上からカードを2枚見る。1枚をデッキの上に戻し残りをデッキの下に戻す。,,,きめんどうし ドラゴンクエストライバルズ 攻略データベース,
2,card_c504381c,きりかぶおばけ,なし,ユニット,2,2,2,召喚時：GET(1)。BET：1ターンに1回のみ、他のランダムな味方ユニットのHP+2。,,,きりかぶおばけ ドラゴンクエストライバルズ 攻略データベース,
3,card_c45c254d,くしざしツインズ,なし,ユニット,2,1,2,味方リーダーの武器の攻撃力+1,,,くしざしツインズ ドラゴンクエストライバルズ 攻略データベース,
4,card_98bf3b6b,くものきょじん,なし,ユニット,2,2,3,死亡時:死亡したマスの地形を宝箱に変える。 この効果で地形の上書きはできない。,,,くものきょじん ドラゴンクエストライバルズ 攻略データベース,
5,card_89cd00d7,くらやみハーピー,なし,ユニット,2,2,2,召喚時：ユニット1体のHPを攻撃力と同じ値にする,,,くらやみハーピー ドラゴンクエストライバルズ 攻略データベース,
6,card_0aff24b1,しびれだんびら,なし,ユニット,2,3,2,召喚時:味方リーダーが装備中の武器に耐久力+1と「攻撃した敵ユニットを次のターン終了時まで攻撃不能にする」を付与する,,,しびれだんびら ドラゴンクエストライバルズ 攻略データベース,
7,card_35914b0d,しましまキャット,なし,ユニット,2,2,2,召喚時&死亡時：しあわせのたね1枚を手札に加える,,,しましまキャット ドラゴンクエストライバルズ 攻略データベース,
8,card_2e3a7eda,じごくのハサミ,なし,ユニット,2,3,2,絶好調、このユニットが絶好調状態なら相手のターン中このユニットが受けるダメージは1になる。,,,じごくのハサミ ドラゴンクエストライバルズ 攻略データベース,
9,card_2924b5f1,じんめんじゅ,なし,ユニット,2,1,4,自分のターン終了時このユニットのHPを1回復,,,じんめんじゅ ドラゴンクエストライバルズ 攻略データベース,
10,card_7d555473,たけやりへい,なし,ユニット,2,2,2,召喚時：このターン中ユニット1体の攻撃力+2,,,たけやりへい ドラゴンクエストライバルズ 攻略データベース,
11,card_c5e37b2c,たんすミミック,なし,ユニット,2,2,2,召喚時：このカード以外の自分の手札が6枚以上ある場合敵ユニット1体をコストが1低いランダムなユニットに変身させる。,,,たんすミミック ドラゴンクエストライバルズ 攻略データベース,
12,card_707a7f3f,とうろうへい,なし,ユニット,2,3,1,召喚時：このターン中味方リーダーの攻撃力+1,,,とうろうへい ドラゴンクエストライバルズ 攻略データベース,
13,card_2b5c40ef,とつげきこぞう,なし,ユニット,2,3,4,正面に敵ユニットが1体もいない場合攻撃できない。,,,とつげきこぞう ドラゴンクエストライバルズ 攻略データベース,
14,card_743df4a8,とらおとこ,なし,ユニット,2,3,2,召喚時:地形マスに召喚された場合+1/+1,,,とらおとこ ドラゴンクエストライバルズ 攻略データベース,
15,card_05056c90,どくやずきん,なし,ユニット,2,2,3,相手がデッキからカードを手札に加える度的リーダーに1ダメージ,,,どくやずきん ドラゴンクエストライバルズ 攻略データベース,
16,card_73c78940,どくイモムシ,なし,ユニット,2,2,1,死亡時：ランダムな敵ユニット1体を毒にする,,,どくイモムシ ドラゴンクエストライバルズ 攻略データベース,
17,card_5752c537,どんぐりベビー,なし,ユニット,2,2,3,味方リーダーのHPが回復する度カードを1枚引く,,,どんぐりベビー ドラゴンクエストライバルズ 攻略データベース,
18,card_543a5394,はえおとこ,なし,ユニット,2,3,3,死亡時：相手リーダーのテンション+1,,,はえおとこ ドラゴンクエストライバルズ 攻略データベース,
19,card_a003c93b,ひとくいサーベル,なし,ユニット,2,3,2,味方リーダーの攻撃で敵ユニットを倒す度敵リーダーに1ダメージ,,,ひとくいサーベル ドラゴンクエストライバルズ 攻略データベース,
20,card_4cc8f84c,ひとつめピエロ,なし,ユニット,2,0,4,テンションリンク：ランダムな敵ユニット1体に1ダメージ,,,ひとつめピエロ ドラゴンクエストライバルズ 攻略データベース,
21,card_b4a32f3c,まじゅつし,なし,ユニット,2,2,2,死亡時:死亡したマスの地形を魔法陣に変える。この効果で地形の上書きはできない。,,,まじゅつし ドラゴンクエストライバルズ 攻略データベース,
22,card_7323a25d,まじょ,なし,ユニット,2,3,2,選択：・魔法使いの特技カードをランダムに1枚手札に加える・魔力の息吹を1枚手札に加える,,,まじょ ドラゴンクエストライバルズ 攻略データベース,
23,card_21630266,まどうし,なし,ユニット,2,1,4,攻撃時：このターン中特技ダメージ+1を得る,,,まどうし ドラゴンクエストライバルズ 攻略データベース,
24,card_38b84c22,まものつかい,なし,ユニット,2,3,1,死亡時:自分のデッキからパワフルバッジを持つユニットを1枚引く,,,まものつかい ドラゴンクエストライバルズ 攻略データベース,
25,card_facf6754,みみずん,なし,ユニット,2,2,3,召喚時：味方建物1つを手札に戻す,,,みみずん ドラゴンクエストライバルズ 攻略データベース,
26,card_16bf66fb,むつでエビ,なし,ユニット,2,2,3,召喚時:相手の手札が3枚以下の場合HP+1とにおうだちを得る,,,むつでエビ ドラゴンクエストライバルズ 攻略データベース,
27,card_8585fce5,ももんじゃ,なし,ユニット,2,2,2,召喚時：敵ユニット１体につきHP+1,,,ももんじゃ ドラゴンクエストライバルズ 攻略データベース,
28,card_22961233,やみのとうぞく,なし,ユニット,2,3,1,召喚時:相手のデッキのランダムなカードと同じカード1枚を手札に加える,,,やみのとうぞく ドラゴンクエストライバルズ 攻略データベース,
29,card_768acf21,よるのていおう,なし,ユニット,2,2,2,テンションリンク：後列にいるランダムな敵ユニット1体を前列のランダムな空きマスに移動させる,,,よるのていおう ドラゴンクエストライバルズ 攻略データベース,
30,card_e462792f,わたぼう,なし,ユニット,2,2,2,ターンを終了したプレイヤーはカードを1枚引く,,,わたぼう ドラゴンクエストライバルズ 攻略データベース,
31,card_911a6db3,アロードッグ,なし,ユニット,2,3,1,召喚時：このカード以外の自分の手札が6枚以上ある場合敵1体に2ダメージ,,,アロードッグ ドラゴンクエストライバルズ 攻略データベース,
32,card_21ed9677,イエローシックル,なし,ユニット,2,1,4,正面にいるユニットと戦闘をする場合このターン中攻撃力+2,,,イエローシックル ドラゴンクエストライバルズ 攻略データベース,
33,card_47d9aa29,イノブタマン,なし,ユニット,2,2,2,召喚時：このターン中味方ユニット1体に攻撃力+3と「敵リーダーを攻撃できない」を付与する,,,イノブタマン ドラゴンクエストライバルズ 攻略データベース,
34,card_c0de3c42,インプ,なし,ユニット,2,2,3,召喚時：GET(1)。BET：デッキの一番上が偶数コストなら敵リーダーに2ダメージ。このユニットへのBETは1ターン1回,,,インプ ドラゴンクエストライバルズ 攻略データベース,
35,card_d05b74e8,エビルアップル,なし,ユニット,2,2,1,味方のヒーロースキルが発動したターン中手札にあるこのユニットのコスト-2,,,エビルアップル ドラゴンクエストライバルズ 攻略データベース,
36,card_fd3ed56e,エビルポット,なし,ユニット,2,1,2,熟練度(0)、おうえん、死亡時:自分のデッキの上7枚から熟練度を持つカードを1枚引く。残りをデッキの下に戻す。(2)攻撃力+1,,,エビルポット ドラゴンクエストライバルズ 攻略データベース,
37,card_72095d77,オコボルト,なし,ユニット,2,3,2,におうだち、召喚時：敵リーダーがパワフルバッジを持つ場合+2/+2,,,オコボルト ドラゴンクエストライバルズ 攻略データベース,
38,card_721fe799,オベルジーヌ,なし,ユニット,2,2,2,味方ユニットのHPが回復する度+1/+1,,,オベルジーヌ ドラゴンクエストライバルズ 攻略データベース,
39,card_671af643,オーク,なし,ユニット,2,2,3,貫通,,,オーク ドラゴンクエストライバルズ 攻略データベース,
40,card_8ae971ee,カンダタこぶん,なし,ユニット,2,3,2,召喚時：GET(1)。BET：このターン中、次に使用するテンションカードのコストが0になる。,,,カンダタこぶん ドラゴンクエストライバルズ 攻略データベース,
41,card_f9b880a8,キメラ,なし,ユニット,2,3,2,召喚時：ユニット1体の位置を前後に入れ替える,,,キメラ ドラゴンクエストライバルズ 攻略データベース,
42,card_84df096e,キラーG,なし,ユニット,2,2,2,貫通、ステルス、死亡時：味方建物があるならカードを1枚引く,,,キラーG ドラゴンクエストライバルズ 攻略データベース,
43,card_067c8577,キラークラブ,なし,ユニット,2,2,3,召喚時:味方リーダーが装備中の武器に「この武器で攻撃した時の反撃ダメージ-2」を付与する,,,キラークラブ ドラゴンクエストライバルズ 攻略データベース,
44,card_1c4a519c,キラーグース,なし,ユニット,2,3,3,おうえん、召喚時：相手は50%の確率でカードを1枚引く,,,キラーグース ドラゴンクエストライバルズ 攻略データベース,
45,card_78ce20c1,ギズモ,なし,ユニット,2,2,2,召喚時：GET(1) BET:正面にいる全ての敵ユニットに1ダメージ,,,ギズモ ドラゴンクエストライバルズ 攻略データベース,
46,card_4e7aecfd,クックルー,なし,ユニット,2,3,2,死亡時：道具カード1枚を手札に加える,,,クックルー ドラゴンクエストライバルズ 攻略データベース,
47,card_2124c67b,グリズリー,なし,ユニット,2,3,2,召喚時:味方リーダーのテンションの数以下の攻撃力を持つ前列の味方ユニット1体を相手の手札に戻す。,,,グリズリー ドラゴンクエストライバルズ 攻略データベース,
48,card_1791b3f8,グリーンシザー,なし,ユニット,2,1,4,正面にいるユニットと戦闘をする場合このターン攻撃力+3、味方冒険者が場に出た後そのユニットの前後に移動する,,,グリーンシザー ドラゴンクエストライバルズ 攻略データベース,
49,card_46595921,ケダモン,なし,ユニット,2,1,3,速攻、召喚時:このターン中味方リーダーが攻撃力+1を得る,,,ケダモン ドラゴンクエストライバルズ 攻略データベース,
50,card_3e5ba706,ケンタラウス,なし,ユニット,2,2,3,召喚時：味方ヒーローがいる場合このターン中味方リーダーは攻撃力+1を得る,,,ケンタラウス ドラゴンクエストライバルズ 攻略データベース,
51,card_2d9b1d3d,ゴールドタヌ,なし,ユニット,2,2,2,召喚時:宝の地図1枚を手札に加える,,,ゴールドタヌ ドラゴンクエストライバルズ 攻略データベース,
52,card_f1cd2f74,サイおとこ,なし,ユニット,2,1,4,におうだち,,,サイおとこ ドラゴンクエストライバルズ 攻略データベース,
53,card_26dcc88b,サタンパピー,なし,ユニット,2,2,1,召喚時:このターン中ユニットが死亡しているなら敵ユニット1体を-2/-2,,,サタンパピー ドラゴンクエストライバルズ 攻略データベース,
54,card_a4f70e0a,サボテンボール,なし,ユニット,2,3,1,テンションリンク：お互いのリーダーに1ダメージ,,,サボテンボール ドラゴンクエストライバルズ 攻略データベース,
55,card_17f1c245,サンダーラット,なし,ユニット,2,1,4,テンションリンク：敵リーダーに1ダメージ,,,サンダーラット ドラゴンクエストライバルズ 攻略データベース,
56,card_3fedcfee,サーベルきつね,なし,ユニット,2,2,2,上下にいるユニットの攻撃力+1,,,サーベルきつね ドラゴンクエストライバルズ 攻略データベース,
