deck,class,card,count,triggers,text,status
イレブンテリー,戦士,アルゴリザード,2,速攻 / れんけい,速攻、れんけい：敵ユニット1体に2ダメージ,専用れんけいあり。テンション3条件、敵ユニット1体2ダメージ。テンション消費なし。
イレブンテリー,戦士,トンネラー,2,におうだち / れんけい,におうだち、れんけい：+1/+1,汎用れんけい処理で+1/+1予定。
イレブンテリー,戦士,かくれんぼう,2,れんけい,ステルス、れんけい：カードを1枚引く,専用れんけいあり。カード1枚ドロー。
イレブンテリー,戦士,ナイトキング,2,におうだち / れんけい,におうだち、れんけい：味方リーダーのHPを4回復,汎用れんけいでHP4回復を解釈する想定。実動はapplyTextMiniEffect依存。
イレブンテリー,戦士,ブラッドレディ,2,召喚時,召喚時：ユニット1体に2ダメージ,召喚時ユニット1体2ダメージ。unitAnyモーダル。
イレブンテリー,戦士,シーゴーレム,2,召喚時 / におうだち,召喚時：味方ヒーローがいる場合HP+2とにおうだちを得る,召喚時ヒーロー有ならHP+2/におうだち。専用処理あり。
イレブンテリー,戦士,ラプソーン,1,死亡時,死亡時：ランダムな敵ユニット1体に「死亡時：相手の場にラプソーン1体を出す」を付与する,死亡時ランダム敵ユニットに後付け死亡時を付与。復活位置は要裁定。
イレブンテリー,戦士,最後の砦の英雄グレイグ,1,におうだち / れんけい,におうだち、れんけい：正面にいる全ての敵ユニットに2ダメージ。敵ユニットが死亡する度攻撃力+1,れんけい専用。正面同列の敵前列/後列に2ダメージ。敵死亡時+1もv166OnUnitDeath側で要確認。
イレブンテリー,戦士,コンガオンガ,1,れんけい,れんけい：攻撃力が6以上の敵ユニット1体を消滅させる。そのユニットと同じ使用コストのランダムなユニットカード1枚を相手の手札に加える。,専用れんけいあり。攻撃力6以上敵ユニット対象モーダル。
イレブンテリー,戦士,フェイスボール,1,れんけい,ステルス、れんけい：次の相手のターン終了時まで味方リーダーが受けるダメージ-2,専用れんけいあり。次の相手ターン終了時までリーダーダメージ-2。
イレブンテリー,戦士,メルビン,1,死亡時,貫通、死亡時：ホットストーンに封じられ召喚者の山札の上から3番目にホットストーンが配置される,要詳細確認
イレブンテリー,戦士,シュプリンガー,1,れんけい,れんけい：このユニットに2回さくせんを出す。,専用れんけいあり。自身へ2回さくせん。
イレブンテリー,戦士,グレイトマムー,2,れんけい,れんけい：敵ユニット1体に5ダメージ,専用れんけいあり。敵ユニット1体5ダメージ。
イレブンテリー,戦士,いなずまのけん,2,召喚時,召喚時&この武器が壊れた時：全ての敵ユニットに2ダメージ,装備時/破壊時の全敵ユニット2ダメージ入口あり。
イレブンテリー,戦士,ウルノーガ&ウルナーガ,1,れんけい,れんけい：前列に召喚した場合、正面にいるランダムな敵ユニット1体を消滅させる。後列に召喚した場合、攻撃力6以上の他ユニット全てを死亡させる。,専用れんけいあり。前列/後列で分岐。
デボラトルネコ,商人,プチファイター,2,速攻,シンクロ：①攻撃力+1、②HP+1、③速攻,シンクロLv3で速攻。
デボラトルネコ,商人,ケダモン,2,速攻 / 召喚時,速攻、召喚時:このターン中味方リーダーが攻撃力+1を得る,速攻と召喚時リーダー攻撃+1。
デボラトルネコ,商人,ぷちメタル,2,速攻,メタルボディ、BET:1ターンに1回のみ攻撃力+1と速攻を得る、自分のターン終了時GET(1)、この効果は一度しか発動しない,BETで速攻取得、自ターン終了GET(1)は専用実装あり。
デボラトルネコ,商人,くらやみハーピー,1,召喚時,召喚時：ユニット1体のHPを攻撃力と同じ値にする,召喚時ユニット1体HPを攻撃力と同じにする。unitAnyモーダル。
デボラトルネコ,商人,ベホイミスライム,2,死亡時,死亡時：GET(1)、BET：1ターンに1回のみ味方リーダーのHPを2回復,死亡時GET(1)実装あり。BET回復あり。
デボラトルネコ,商人,ルドマン,1,召喚時,召喚時：GET(1)。BET：道具カードを1枚手札に加える。味方のBETが4回発動する度に、手札/山札からコスト3以下のユニット1体を場に出す。,召喚時GET(1)、BET道具、4回BET誘発あり。
デボラトルネコ,商人,怪獣プスゴン,1,召喚時 / 死亡時,召喚時：指定の敵の空きマスにイチゴ爆弾を1つ出す。死亡時：正面のランダムな敵の空きマスにイチゴ爆弾を1つ出す,召喚時敵空きマス指定、死亡時正面ランダム敵空きマス。死亡時位置の裁定要確認。
デボラトルネコ,商人,ラプソーン,1,死亡時,死亡時：ランダムな敵ユニット1体に「死亡時：相手の場にラプソーン1体を出す」を付与する,死亡時ランダム敵ユニットに後付け死亡時を付与。復活位置は要裁定。
デボラトルネコ,商人,黄金兵,2,におうだち,におうだち、自分がコインを使う度このターン中手札にあるこのカードのコスト-2,におうだち。コイン使用時手札自身コスト-2実装あり。
デボラトルネコ,商人,ブラバニクイーン,2,速攻,シンクロ：①貫通、②速攻、③攻撃力+1,シンクロLv2で速攻。
デボラトルネコ,商人,福招きのそろばん,1,召喚時,召喚時とこの武器が壊れた時にGET(1)。BET：耐久力-1してカードを1枚引く。,装備時/壊れた時GET、BETドローは入口あり。
デボラトルネコ,商人,ハンフリー,1,召喚時,召喚時:ユニット1体の攻撃力とHPを吸い取り自身の攻撃力とHPを同じ値にする。そのユニットを2/2にする,召喚時unitAnyモーダル。攻撃/最大HP吸収、対象2/2。
デボラトルネコ,商人,レッドプレデター,2,召喚時 / におうだち,におうだち、この対戦中に自分が使った特技カードの枚数と同じだけ攻撃力を上げる。 召喚時：敵ユニット1体に自身の攻撃力と同じダメージを与える,v216で敵ユニット限定に修正。自身攻撃力ぶんダメージ。
タバサドラゴンミネア,占い師,クロウズ,1,召喚時 / 攻撃時,召喚時:味方リーダーは必中モードになる。攻撃時:デッキの1番上のカードを見てデッキの一番下に移動させることができる。,召喚時必中、攻撃時山札トップ確認。攻撃時処理あり。
タバサドラゴンミネア,占い師,バルーンコール,2,速攻 / におうだち / 占い,占い：①におうだち、2/3のプヨンターゲットを出す。②速攻 1/1のバブリンを2体出す,占い専用処理。通常ランダム、必中選択、超必中両方。
タバサドラゴンミネア,占い師,かみかぜ,2,占い,おうえん、占い:(1)合計3ダメージをランダムな敵ユニットに割り振る(2)ランダムなコスト2のユニットを1体出す,占い専用処理。おうえん、ランダム配分/コスト2ランダム召喚。
タバサドラゴンミネア,占い師,バルンバ,2,におうだち / パワフルバッジ,パワフルバッジ：ドラゴン系の味方ユニットはにおうだちを得る,パワフルバッジ登録。ドラゴン系味方ににおうだち。
タバサドラゴンミネア,占い師,太陽のタロット,2,占い,占い：(1)全ての敵ユニットに2ダメージ、(2)味方リーダーのHPを7回復,占い専用処理。全敵2ダメージ/リーダー7回復。
タバサドラゴンミネア,占い師,サイコロン,2,召喚時,召喚時：味方ヒーローがいる場合合計5ダメージをこのユニット以外のランダムなユニットに割り振る,召喚時ヒーローありならランダム5点配分。
タバサドラゴンミネア,占い師,キースドラゴン,2,占い,占い：①味方リーダーのHPを5回復、②正面にいる全ての敵ユニットに2ダメージ,召喚時占い専用処理。回復/正面同列敵2ダメージ。
タバサドラゴンミネア,占い師,死神のタロット,2,占い,占い：①全てのユニットに3ダメージ、②：2/2のナイトウィスプを3体出す,占い専用処理。全ユニット3点/ナイトウィスプ3体。
タバサドラゴンミネア,占い師,イブール,1,召喚時 / 攻撃時,相手プレイヤーの手札の特技カードのコスト+1、召喚時&攻撃時:相手のデッキの一番上にイブールの本が一枚置かれる,召喚時/攻撃時イブールの本を相手デッキトップへ。特技コスト+1は場にいる間。
タバサドラゴンミネア,占い師,ゾディアックコード,2,占い,必殺技：この対戦中超必中モードになる。自分のデッキから占いカードを1枚手札に加えてコスト-3する。無いなら代わりに審判のタロットを手札に加える。,永続超必中、占いサーチ/審判追加。
タバサドラゴンミネア,占い師,逆転への兆し,2,占い,占い：(1)全てのユニットを1/1にする(2)ランダムなコスト3のユニットを2体出す,占い専用処理。全ユニット1/1/コスト3ランダム2体。
タバサドラゴンミネア,占い師,召竜の儀式,2,占い,占い:①7/7のダースドラゴンを出す ②3/3のいばらドラゴンを3体出す,占い専用処理。ダースドラゴン/いばらドラゴン3体。
タバサドラゴンミネア,占い師,しんりゅう,1,召喚時,召喚時:願い事を１つかなえてくれる。 味方リーダーが超必中モードの場合全ての願い事をかなえてくれる。,召喚時願い事。超必中時すべて。
タバサドラゴンミネア,占い師,タロットフォーチュン,1,占い,敵ユニット1体に7ダメージ。7/7のダースドラゴンを出す。 対戦中に自分が使った占いカードの回数分コスト-1。,対象敵ユニット1体7ダメージ+7/7。コスト低下は占い回数参照。
イルルカドラゴンゼシカ,魔法使い,パピラス,2,れんけい,れんけい：ランダムなコスト1〜3の自分の職業の特技カードを1枚手札に加える。,れんけいで職業特技コスト1-3を手札へ。
イルルカドラゴンゼシカ,魔法使い,とさかヘビ,2,召喚時,召喚時：自分のデッキの上からカード4枚を見る。ドラゴン系のカードを1枚選びそれを引く。残りをデッキの下に戻す。,召喚時上4枚からドラゴン系選択。
