No,カード名,存在,コスト,攻撃力,HP,職業,系統,効果テキスト,コード上の見立て,次の扱い
1,リザードマン,OK,2,3,2,共通,ドラゴン,効果なし,専用/名前あり,通常ユニット
2,りゅうき兵,OK,4,4,5,共通,ドラゴン,効果なし,専用/名前あり,通常ユニット
3,テラノライナー,OK,7,5,2,共通,ドラゴン,速攻,専用/名前あり,要挙動確認
4,おにこんぼう,OK,7,7,7,共通,ドラゴン,効果なし,専用/名前あり,通常ユニット
5,アックスドラゴン,OK,5,5,3,共通,ドラゴン,召喚時：ユニット1体に1ダメージを与えた後「受けるダメージ2倍」を付与する。,専用/名前あり,要挙動確認
6,メラリザード,OK,1,1,2,共通,ドラゴン,貫通,専用/名前あり,要挙動確認
7,ダッシュラン,OK,3,3,3,共通,ドラゴン,召喚時：前列にいるユニット1体を後列に移動させる,専用/名前あり,要挙動確認
8,フェアリードラゴン,OK,3,2,3,共通,ドラゴン,死亡時：味方リーダーのテンション+1,専用/名前あり,要挙動確認
9,ガメゴン,OK,6,3,7,共通,ドラゴン,におうだち,専用/名前あり,要挙動確認
10,ドラゴンキッズ,OK,3,3,2,共通,ドラゴン,召喚時：正面にいる全ての敵ユニットに1ダメージ,専用/名前あり,要挙動確認
11,バトルレックス,OK,5,4,6,共通,ドラゴン,攻撃時：このターン中味方リーダーの武器の攻撃力+2,専用/名前あり,要挙動確認
12,ドラゴンゾンビ,OK,7,6,6,共通,ドラゴン,死亡時：正面にいる全ての敵ユニットに3ダメージ,専用/名前あり,要挙動確認
13,グレイトドラゴン,OK,8,6,6,共通,ドラゴン,召喚時：このユニットを除く自分の場と手札にいるドラゴン系の数だけ+1/+1,専用/名前あり,要挙動確認
14,キングリザード,OK,10,7,7,共通,ドラゴン,このカードを除く自分の場と手札にいるドラゴン系の数だけコストが下がる。,専用/名前あり,要確認
15,ドラゴン,OK,3,5,4,共通,ドラゴン,死亡時：相手の手札に王女の愛を加える,専用/名前あり,要挙動確認
16,ドラゴンガイア,OK,6,6,6,共通,ドラゴン,召喚時：次の相手のターン終了時まで全ての味方は相手の特技ダメージを受けない,専用/名前あり,要挙動確認
17,やまたのおろち,OK,6,4,4,共通,ドラゴン,召喚時：味方ユニット1体を死亡させる そのユニットのコスト分攻撃力とHPが上がる,専用/名前あり,要挙動確認
18,ドラゴンソルジャー,OK,5,3,5,戦士,ドラゴン,対戦中に味方リーダーが攻撃した回数分攻撃力+1,専用/名前あり,要確認
19,リトルライバーン,OK,4,3,5,僧侶,ドラゴン,味方が回復する度ランダムな敵1体に2ダメージ,専用/名前あり,要確認
20,デンデン竜,OK,6,4,6,共通,ドラゴン,におうだち、おうえん,専用/名前あり,要挙動確認
21,樹氷の竜,OK,4,3,4,魔法使い,ドラゴン,自分のターン終了時、敵の場に氷塊があるなら敵リーダーに3ダメージ。,専用/名前あり,要挙動確認
22,リザードフライ,OK,2,2,3,共通,ドラゴン,召喚時:味方ユニット1体を1マス下に移動させる。,専用/名前あり,要挙動確認
23,フォレストドラゴ,OK,4,3,6,僧侶,ドラゴン,自分のターン終了時味方リーダーのHPを2回復,専用/名前あり,要挙動確認
24,ブラックドラゴン,OK,7,6,6,共通,ドラゴン,召喚時:ランダムな敵ユニット1体に1ダメージ。このカードを除く自分の場と手札にいるドラゴン系の数の3倍分与えるダメージが増える。,専用/名前あり,要挙動確認
25,バルンバ,OK,3,2,4,占い師,ドラゴン,パワフルバッジ：ドラゴン系の味方ユニットはにおうだちを得る,専用/名前あり,要挙動確認
26,しんりゅう,OK,8,8,8,占い師,ドラゴン,召喚時:願い事を１つかなえてくれる。 味方リーダーが超必中モードの場合全ての願い事をかなえてくれる。,専用/名前あり,要挙動確認
27,コドラ,OK,4,4,4,共通,ドラゴン,召喚時：このターン中次に使うドラゴン系のユニットカードのコスト-2,専用/名前あり,要挙動確認
28,ドラゴンバゲージ,OK,7,5,7,僧侶,ドラゴン,におうだち、自分のターン終了時味方リーダーのテンション+1,専用/名前あり,要挙動確認
29,たつのこナイト,OK,5,6,5,僧侶,ドラゴン,パワフルバッジ：自分の手札にあるドラゴン系のユニットカードのコスト-1。,専用/名前あり,要挙動確認
30,グレイナル,OK,7,6,6,僧侶,ドラゴン,召喚時：竜戦士の装具を手札に加える。ドラゴン系の味方ユニットが攻撃して敵ユニットを倒す度味方リーダーのテンション+1,専用/名前あり,要挙動確認
31,レジェンドウルフ,OK,9,9,9,共通,ドラゴン,効果なし,専用/名前あり,通常ユニット
32,いっかく竜,OK,1,2,2,占い師,ドラゴン,召喚時：味方リーダーのテンションスキルを竜の導きに変える,専用/名前あり,要挙動確認
33,キースドラゴン,OK,5,4,5,占い師,ドラゴン,占い：①味方リーダーのHPを5回復、②正面にいる全ての敵ユニットに2ダメージ,専用/名前あり,要挙動確認
34,エステラ・竜化の術,OK,9,2,8,共通,ドラゴン,超貫通、速攻、におうだち：対戦中に死亡したドラゴン系の味方ユニットの数だけ攻撃力が上がる。,専用/名前あり,要挙動確認
35,マーニャ：ドラゴラム,OK,6,6,6,占い師,ドラゴン,このユニットは攻撃できない。自分のターン終了時ランダムな横一列にいる全ての敵ユニットと敵リーダーに4ダメージ,専用/名前あり,要挙動確認
36,竜王,OK,9,7,7,共通,ドラゴン,超貫通,専用/名前あり,要挙動確認
37,アンドレアル,OK,8,5,5,僧侶,ドラゴン,スキルリンク：5/5のグリーンドラゴンを1体出す。 スキルブースト：コスト-1,専用/名前あり,要挙動確認
38,ドラゴンロード,OK,6,6,6,共通,ドラゴン,このユニットを除くドラゴン系の味方ユニット全てを+1/+1 自分の手札にあるドラゴン系のユニットカードのコスト-1,専用/名前あり,要確認
39,グリーンドラゴン,OK,5,5,5,僧侶,ドラゴン,効果なし,専用/名前あり,通常ユニット
40,ダースドラゴン,OK,7,7,7,占い師,ドラゴン,効果なし,専用/名前あり,通常ユニット
41,いばらドラゴン,OK,3,3,3,占い師,ドラゴン,効果なし,専用/名前あり,通常ユニット
42,はしりとかげ,OK,3,2,4,共通,ドラゴン,いずれかのプレイヤーのヒーロースキルが発動した後味方リーダーを3回復,専用/名前あり,要確認
43,ドラゴンヘビー,OK,5,4,6,共通,ドラゴン,におうだち、このユニットは移動せず手札に戻らない,専用/名前あり,要挙動確認
44,スカイドラゴン,OK,5,4,6,共通,ドラゴン,絶好調、絶好調状態な味方ユニットが攻撃する度味方リーダーのテンション+1,専用/名前あり,要挙動確認
45,メイジバピラス,OK,2,2,2,占い師,ドラゴン,絶好調、絶好調状態の味方ユニットが攻撃する度自分のデッキから占いカードを1枚引く,専用/名前あり,要挙動確認
46,ベビーニュート,OK,5,3,6,僧侶,ドラゴン,味方ユニットのHPが回復する度ランダムな敵1体に1ダメージを与えた後カードを1枚引く,専用/名前あり,要確認
47,ギガデーモン,OK,8,7,6,武闘家,ドラゴン,こうげきできない、BET：速攻と「このターン中攻撃可能になる」を得る。自分のターン終了時GET(1),専用/名前あり,要挙動確認
48,ベビーサラマンダ,OK,4,2,6,僧侶,ドラゴン,攻撃時：GET(1)、BET:攻撃力+1、このBETが4回発動した後超貫通8/8のサラマンダーに変身する,専用/名前あり,要挙動確認
49,サラマンダー,OK,8,8,8,僧侶,ドラゴン,超貫通,専用/名前あり,要挙動確認
50,まかいファイター,OK,6,4,5,戦士,ドラゴン,召喚時：GET(1)、BET：このターン中味方リーダーの攻撃力+1、このBETが4回発動する度まかいファイターを1体だす,専用/名前あり,要挙動確認
51,アルゴリザード,OK,2,1,2,戦士,ドラゴン,速攻、れんけい：敵ユニット1体に2ダメージ,専用/名前あり,要挙動確認
52,ワイバーンドッグ,OK,7,7,7,盗賊,ドラゴン,召喚時：ダメージを受けている全ての敵ユニットに3ダメージ、れんけい：さらにダメージを受けていない全てのユニットに1ダメージ,専用/名前あり,要挙動確認
53,シュプリンガー,OK,5,5,4,共通,ドラゴン,れんけい：このユニットに2回さくせんを出す。,専用/名前あり,要挙動確認
54,ドランゴ,OK,5,5,5,戦士,ドラゴン,味方リーダーが攻撃した後ランダムな横一列にいる全ての敵ユニットと敵リーダーに2ダメージ。このユニットは冒険者としても扱う,専用/名前あり,要確認
55,怪獣プスゴン,OK,3,3,4,商人,ドラゴン,召喚時：指定の敵の空きマスにイチゴ爆弾を1つ出す。死亡時：正面のランダムな敵の空きマスにイチゴ爆弾を1つ出す,専用/名前あり,要挙動確認
