cost,name,classes,tribes,keywords,implementationStatus,occurrencesInApp,text
2,あおだけ童子,商人,なし,召喚時,未実装疑い,0,召喚時：このカード以外の自分の手札が6枚以上ある場合攻撃力+2
2,あくまのす,魔法使い,なし,,未実装疑い,0,自分が特技を使う度このユニットのHP+1
2,うみうし,盗賊,なし,召喚時,未実装疑い,0,召喚時&手札から捨てた時：1/2のおおなめくじを1体出す
2,おばけキノコ,共通,なし,死亡時,未実装疑い,0,死亡時：ランダムな敵1体を次のターン攻撃不能にする
2,おばけパラソル,商人,なし,れんけい,未実装疑い,0,れんけい：敵1体に2ダメージ
2,おむつっこり,共通,なし,召喚時,未実装疑い,0,召喚時：HPを2回復
2,かまいたち,共通,なし,召喚時,未実装疑い,0,召喚時：前列にいる他の全てのユニットに1ダメージ
2,かれくさネズミ,商人,なし,,未実装疑い,0,味方ヒーローのヒーロースキルが発動する度メタルスライムを1体出す
2,くしざしツインズ,共通,なし,,未実装疑い,0,味方リーダーの武器の攻撃力+1
2,くものきょじん,商人,なし,死亡時,未実装疑い,0,死亡時:死亡したマスの地形を宝箱に変える。 この効果で地形の上書きはできない。
2,しにがみ,共通,ゾンビ,,未実装疑い,0,2回攻撃
2,しびれだんびら,盗賊,なし,召喚時/ターン終了,未実装疑い,0,召喚時:味方リーダーが装備中の武器に耐久力+1と「攻撃した敵ユニットを次のターン終了時まで攻撃不能にする」を付与する
2,しりょうのきし,共通,ゾンビ,召喚時,未実装疑い,0,召喚時：敵リーダーが装備中の武器を-1/-1
2,しんぴのよろい,僧侶,なし,ターン終了,未実装疑い,0,この対戦の間味方リーダーは「自分のターン終了時味方リーダーのHPを2回復する」を得る
2,じごくのハサミ,戦士,なし,絶好調,未実装疑い,0,絶好調、このユニットが絶好調状態なら相手のターン中このユニットが受けるダメージは1になる。
2,じんめんじゅ,共通,なし,ターン終了,未実装疑い,0,自分のターン終了時このユニットのHPを1回復
2,たんすミミック,商人,なし,召喚時,未実装疑い,0,召喚時：このカード以外の自分の手札が6枚以上ある場合敵ユニット1体をコストが1低いランダムなユニットに変身させる。
2,だんごスライム,魔法使い,スライム,召喚時,未実装疑い,0,召喚時：カードを2枚引く。その後手札を2枚捨てる
2,つむりんママ,共通,スライム,,未実装疑い,0,このユニットを除くスライム系の味方ユニットの攻撃力+1
2,とつげきこぞう,共通,なし,,未実装疑い,0,正面に敵ユニットが1体もいない場合攻撃できない。
2,どくやずきん,魔剣士,なし,,未実装疑い,4,相手がデッキからカードを手札に加える度的リーダーに1ダメージ
2,どくイモムシ,共通,なし,死亡時,未実装疑い,0,死亡時：ランダムな敵ユニット1体を毒にする
2,どんぐりベビー,僧侶,なし,,未実装疑い,0,味方リーダーのHPが回復する度カードを1枚引く
2,はなカワセミ,共通,なし,パワフルバッジ,未実装疑い,0,パワフルバッジ：スライム系のユニットカードを使う度味方リーダーのHPを1回復
2,はねスライム,武闘家,スライム,召喚時,未実装疑い,0,召喚時：スライム系の味方ユニット1体手札に戻す。 その後2回攻撃を得る。
2,ひとくいサーベル,戦士,なし,,未実装疑い,0,味方リーダーの攻撃で敵ユニットを倒す度敵リーダーに1ダメージ
2,ひとつめピエロ,魔法使い,なし,テンション,未実装疑い,0,テンションリンク：ランダムな敵ユニット1体に1ダメージ
2,まじゅつし,魔法使い,なし,死亡時,未実装疑い,0,死亡時:死亡したマスの地形を魔法陣に変える。この効果で地形の上書きはできない。
2,まじょ,魔法使い,なし,選択,未実装疑い,0,選択：・魔法使いの特技カードをランダムに1枚手札に加える・魔力の息吹を1枚手札に加える
2,まものつかい,共通,なし,死亡時/パワフルバッジ,未実装疑い,0,死亡時:自分のデッキからパワフルバッジを持つユニットを1枚引く
2,みみずん,共通,なし,召喚時,未実装疑い,0,召喚時：味方建物1つを手札に戻す
2,ももんじゃ,共通,なし,召喚時,未実装疑い,0,召喚時：敵ユニット１体につきHP+1
2,アロードッグ,商人,なし,召喚時,未実装疑い,0,召喚時：このカード以外の自分の手札が6枚以上ある場合敵1体に2ダメージ
2,イノブタマン,共通,なし,召喚時,未実装疑い,0,召喚時：このターン中味方ユニット1体に攻撃力+3と「敵リーダーを攻撃できない」を付与する
2,エビルアップル,共通,なし,,未実装疑い,0,味方のヒーロースキルが発動したターン中手札にあるこのユニットのコスト-2
2,オベルジーヌ,僧侶,なし,,未実装疑い,0,味方ユニットのHPが回復する度+1/+1
2,キメラ,共通,なし,召喚時,未実装疑い,0,召喚時：ユニット1体の位置を前後に入れ替える
2,キラークラブ,盗賊,なし,召喚時,未実装疑い,0,召喚時:味方リーダーが装備中の武器に「この武器で攻撃した時の反撃ダメージ-2」を付与する
2,グリーンシザー,戦士,なし,,未実装疑い,0,正面にいるユニットと戦闘をする場合このターン攻撃力+3、味方冒険者が場に出た後そのユニットの前後に移動する
2,ケンタラウス,僧侶,なし,召喚時,未実装疑い,0,召喚時：味方ヒーローがいる場合このターン中味方リーダーは攻撃力+1を得る
2,コープスフライ,共通,ゾンビ,,未実装疑い,0,前列にいる場合両プレイヤーのユニットカードのコスト+1
2,ゴールドタヌ,共通,なし,召喚時,未実装疑い,0,召喚時:宝の地図1枚を手札に加える
2,サボテンボール,共通,なし,テンション,未実装疑い,0,テンションリンク：お互いのリーダーに1ダメージ
2,サンダーラット,武闘家,なし,テンション,未実装疑い,0,テンションリンク：敵リーダーに1ダメージ
2,サーベルきつね,共通,なし,,未実装疑い,0,上下にいるユニットの攻撃力+1
2,シャドー,共通,なし,,未実装疑い,0,このユニットは効果の対象にならない。
2,シャール,僧侶,冒険者,,未実装疑い,0,味方ユニットのHPが回復する度他のランダムな味方ユニット1体を+1/+1
2,ジャイアントバット,武闘家,なし,召喚時/ターン終了,未実装疑い,0,召喚時：このユニットにさくせんを出す。自分のターン中このユニットが戦闘ダメージを与えた敵を次のターン終了時まで攻撃不能にする
2,スカルガルー,共通,なし,,未実装疑い,0,前列にいる場合自分がデッキからカードを手札に加える度攻撃力+1
2,スキッパー,占い師,なし,テンション,未実装疑い,0,テンションリンク：デッキの一番上のカードのコストが奇数ならそのカードを手札に加える。
2,スノーベビー,盗賊,なし,召喚時,未実装疑い,0,召喚時：ダメージを受けている敵ユニット1体に2ダメージ
2,ズッキーニャ,戦士,なし,召喚時,未実装疑い,0,召喚時:召喚されたマスの地形を刃の紋章に変える。この効果で地形の上書きはできない。
2,タイガーランス,共通,なし,召喚時,未実装疑い,0,召喚時：指定の敵マスに1/1のスライムを1体出す
2,ダックカイト,魔剣士,なし,召喚時,未実装疑い,0,召喚時:召喚されたマスの地形をバリア床に変える。 この効果は地形の上書きはできない。
2,テンツク,僧侶,なし,死亡時,未実装疑い,0,死亡時:死亡したマスの地形を祝福の聖域に変える。 この効果で地形の上書きはできない。
2,ドラゴスライム,共通,スライム,召喚時/絶好調,未実装疑い,0,召喚時：味方ユニット１体を絶好調状態に戻す
2,ナスビナーラ,共通,なし,召喚時,未実装疑い,0,召喚時：ユニット１体を縦1列の中央に移動させる
2,パペットこぞう,占い師,なし,占い/テンション,未実装疑い,0,占い：(1)味方リーダーのテンション-1、(2)+1/+1を得る
2,ヒポせんし,共通,なし,テンション,未実装疑い,0,敵リーダーのテンションが上がる度攻撃力+1
2,ビッグスロース,武闘家,なし,,未実装疑い,0,自分がコスト1以下の手札を使う度+1/+1
2,ビッグハンマー,盗賊,なし,召喚時,未実装疑い,0,召喚時：自分のデッキから建物カードを1枚手札に加える。その後自分の手札から1枚選んで捨てる
2,ピンクモーモン,僧侶,なし,,未実装疑い,0,このユニットの攻撃で与えたダメージ分味方リーダーのHPを回復する
2,ファーリス王子,戦士,冒険者,ターン終了/テンション,未実装疑い,0,自分のターン終了時このユニットがブロックされているなら味方リーダーのテンション+1、カードを1枚引く
2,フレイム,共通,なし,,未実装疑い,0,前列にいる場合攻撃力+3
2,フロッガー,魔法使い,なし,,未実装疑い,0,スライム系の味方ユニットが場に出る度ランダムな敵1体に1ダメージ
2,ブチュチュンパ,共通,なし,召喚時/絶好調,未実装疑い,0,召喚時：全ての敵ユニットは絶好調状態ではなくなる。
2,ブライ,武闘家,冒険者,召喚時,未実装疑い,0,特技ダメージ+1、召喚時：このターン味方1体の攻撃力+2
2,ブラッドソード,戦士,なし,死亡時,未実装疑い,0,死亡時：味方ヒーローがいる場合自分のデッキからコスト2以下の武器を装備する。
2,プオーン,武闘家,なし,召喚時,未実装疑い,0,召喚時：自分のデッキからコストが最も高い武闘家のカードを手札に1枚加える
2,プチヒーロー,共通,なし,シンクロ,未実装疑い,0,シンクロ:①HP+1、②攻撃力+1、③HP+1
2,プークプック,共通,なし,,未実装疑い,0,前後にいる味方ユニットの攻撃力+1
2,ヘルホーネット,商人,なし,召喚時,未実装疑い,0,召喚時：味方ユニット1体の攻撃力+1
2,ヘンリー,商人,冒険者,シンクロ,未実装疑い,0,シンクロ：(1)HP+1、(2)味方のヒーロースキルのコストは1下がる、(3)味方のヒーロースキルを1ターンに2回まで発動できる
2,ベビーサタン,魔剣士,なし,テンション,未実装疑い,0,テンションリンク：自分と相手の最大MPが1増える
2,ベロニャーゴ,共通,なし,れんけい,未実装疑い,0,れんけい：HP+1、味方リーダーが攻撃した後1/1のプリスニャンを1体出す
2,ホミロン軍曹,共通,スライム,召喚時,未実装疑い,0,召喚時：合計2ダメージを正面のランダムな敵マスに割り振る。このユニットを除くスライム系のみかたユニットの数分ダメージ+1
2,ホワイトビート,共通,なし,,未実装疑い,0,ヒーロースキルを1ターンに2回まで発動できるようになる
2,ボーンバット,僧侶,ゾンビ,召喚時,未実装疑い,0,召喚時：このユニットに2ダメージを与える
2,ポイズンリザード,共通,なし,絶好調,未実装疑い,0,絶好調、このユニットが絶好調状態ならダメージを与えたユニットを毒にする
2,マギール,共通,なし,,未実装疑い,0,味方建物があるなら手札のこのカードのコスト-1
2,マクロベータ,僧侶,なし,れんけい,未実装疑い,0,れんけい:縦1列にいる全てのユニットに1ダメージ
2,マタンゴ,共通,なし,召喚時,未実装疑い,0,召喚時：敵リーダーが装備中のコスト4以下の武器を破壊する。
2,マドルーパー,共通,なし,,未実装疑い,0,このユニットは戦闘ダメージのみ受ける
2,マリンスライム,武闘家,スライム,,未実装疑い,0,スキルブースト：攻撃力+1
2,マーブルン,共通,なし,召喚時,未実装疑い,0,召喚時：指定の味方マスに1/1のプリズニャンを1体出す
2,マーマンダイン,共通,なし,パワフルバッジ,未実装疑い,0,パワフルバッジ：ドラゴン系のユニットカードを使う度敵リーダーに1ダメージ
2,ミステリドール,共通,なし,召喚時,未実装疑い,0,召喚時:前後のマスにこのユニットがいる地形をコピーする。 この効果で地形の上書きはできない。
