category,card,implemented_v218,notes
dragon,竜戦士の装具,yes,HP8回復、テンションスキルを英雄竜の祝福へ変更
dragon,英雄竜の祝福,yes,味方全員HP3回復、死亡プールドラゴンを場に出す
dragon,竜の導き,yes,山札からランダムなドラゴン系ユニットカードを手札へ、コスト-1
dragon,スノードラゴン,yes,コスト4/5/6特技を各1枚ランダム提示
dragon,ドラゴンロード,yes,常在+1/+1、手札ドラゴン系コスト-1
cost2,あおだけ童子,yes,手札6枚以上で攻撃力+2
cost2,おばけパラソル,yes,れんけい敵1体2ダメージ
cost2,おむつっこり,yes,味方リーダーHP2回復
cost2,かまいたち,yes,前列他全体1ダメージ
cost2,しりょうのきし,yes,敵武器-1/-1
cost2,ももんじゃ,yes,敵ユニット数分HP+1
cost2,アロードッグ,yes,手札6枚以上で敵1体2ダメージ
cost2,イノブタマン,yes,味方1体このターン攻撃力+3・敵リーダー攻撃不可
cost2,ゴールドタヌ,yes,宝の地図を手札へ
cost2,ケンタラウス,yes,ヒーロー有りなら味方リーダー攻撃力+1
cost2,おばけキノコ,yes,死亡時ランダムな敵1体攻撃不能
cost2,どくイモムシ,yes,死亡時ランダム敵ユニット毒
cost2,じんめんじゅ,yes,自分ターン終了時自身HP1回復
cost2,どんぐりベビー,yes,味方リーダー回復時1ドロー
cost2,オベルジーヌ,yes,味方ユニット回復時自身+1/+1
cost2,シャール,yes,味方ユニット回復時他ランダム味方+1/+1
