name,category,status,detail
ドラゴンロード,dragon,修正,手札コスト-1を召喚者側の自分手札限定として明記。盤面+1/+1は汎用常在オーラへ一本化し二重バフ防止。
ドラゴンガイア,dragon,補強,特技ダメージ無効ステータスを実ダメージ計算側でも判定。
オリハルゴン,dragon,補強,自分ターン中リーダー攻撃力+3、前列時リーダー被ダメージ-2。
ワイバーンドッグ,dragon,補強,召喚時:ダメージを受けている敵ユニット全てに3ダメージ。れんけい:ダメージを受けていない全ユニットに1ダメージ。
立ち塞がるドラゴン,dragon,補強,召喚時2枚ドロー→手札2枚選択破棄。死亡時王女の愛は既存維持。
あくまのす,cost2,batch2追加/補強,
うみうし,cost2,batch2追加/補強,
かれくさネズミ,cost2,batch2追加/補強,
くしざしツインズ,cost2,batch2追加/補強,
くものきょじん,cost2,batch2追加/補強,
しびれだんびら,cost2,batch2追加/補強,
しんぴのよろい,cost2,batch2追加/補強,
たんすミミック,cost2,batch2追加/補強,
だんごスライム,cost2,batch2追加/補強,
はねスライム,cost2,batch2追加/補強,
まじゅつし,cost2,batch2追加/補強,
まじょ,cost2,batch2追加/補強,
まものつかい,cost2,batch2追加/補強,
みみずん,cost2,batch2追加/補強,
ひとつめピエロ,cost2,batch2追加/補強,
サボテンボール,cost2,batch2追加/補強,
サンダーラット,cost2,batch2追加/補強,
スキッパー,cost2,batch2追加/補強,
ベビーサタン,cost2,batch2追加/補強,
スノーベビー,cost2,batch2追加/補強,
ズッキーニャ,cost2,batch2追加/補強,
ダックカイト,cost2,batch2追加/補強,
タイガーランス,cost2,batch2追加/補強,
ドラゴスライム,cost2,batch2追加/補強,
テンツク,cost2,batch2追加/補強,
ブチュチュンパ,cost2,batch2追加/補強,
ブライ,cost2,batch2追加/補強,
ヘルホーネット,cost2,batch2追加/補強,
ボーンバット,cost2,batch2追加/補強,
