card,version,status,note
なげきムーン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
マドハンド,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
マポレーナ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ミケまどう,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ガチャコッコ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
スライムタワー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ドラゴンキッズ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
メタルハンター,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ジャガーメイジ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ドラキーマ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
サブナック,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ドロザラー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
パペットマン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
妖魔軍王ブギー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
フォレストマスター,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
テールイーター,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ジゴック,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
パプリカン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ナイトリッチ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ファイアボール,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
いなずまビリー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
フロストギズモ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
スライムツリー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ミニデーモン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ビッグモアイ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
アイスゴーレム,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
グリムン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
神官クリフト,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
