name,cost,type,official_text_in_cards_json,v229_status
マジカルハット,3,ユニット,他の味方ユニットに自分が特技を使う度その特技と同じ効果がこのユニットに対しても発動する。,fixed_conservative_copy_for_heal_tool_buff_spells
かいぞくウーパー,3,ユニット,召喚時&手札から捨てた時：カードを1枚引く,fixed_summon_and_discard_draw_removed_death_trigger
船長,2,ユニット,召喚時&手札から捨てた時:味方リーダーのHPを2回復する,discard_trigger_added_heal_2
ザイル,2,ユニット,死亡時&手札から捨てた時:はるかぜのフルートを1枚手札に加える,discard_trigger_added_add_harukaze_flute
うみうし,2,ユニット,召喚時&手札から捨てた時：1/2のおおなめくじを1体出す,existing_discard_trigger_kept
怪盗ポイックリン,2,ユニット,ステルス、召喚時：相手の手札のカードと同じカードをランダムに1枚手札に加える。その後、自分の手札から1枚選んで捨てる。,summon_discard_flow_requires_shared_discard_hook_review
ビッグハンマー,2,ユニット,召喚時：自分のデッキから建物カードを1枚手札に加える。その後自分の手札から1枚選んで捨てる,summon_draw_building_then_discard_uses_shared_discard_hook
とうぞくこぞう,3,ユニット,召喚時：自分の手札から1枚選んで捨てる,summon_choose_discard_uses_shared_discard_hook
ドラゴンロード,6,ユニット,場に出ている間、このユニットを除くドラゴン系の味方ユニット全てを+1/+1。場に出ている間、自分の手札にあるドラゴン系ユニットカードの使用コスト-1。,official_text_rechecked_or_in_scope
竜戦士の装具,4,特技,味方リーダーのHPを8回復。味方リーダーのテンションスキルを英雄竜の祝福に変える。,official_text_rechecked_or_in_scope
竜の導き,0,トークン,自分の山札からドラゴン系ユニットカードをランダムに1枚手札に加える。そのカードの使用コスト-1。,official_text_rechecked_or_in_scope
レッドプレデター,8,ユニット,におうだち、この対戦中に自分が使った特技カードの枚数と同じだけ攻撃力を上げる。 召喚時：敵ユニット1体に自身の攻撃力と同じダメージを与える,official_text_rechecked_or_in_scope
ブラウニー,3,ユニット,味方リーダーの攻撃で敵ユニットを倒す度攻撃力+2,official_text_rechecked_or_in_scope
ドッグスナイパー,3,ユニット,ねらい撃ち、戦闘以外のダメージで敵ユニットが死亡する度攻撃力+1,official_text_rechecked_or_in_scope
メーダクイン,3,ユニット,お互いの手札にある本来のコストが0の特技カードのコスト+1,official_text_rechecked_or_in_scope
ウィッチレディ,3,ユニット,自分が特技を使って敵ユニットを倒す度味方リーダーのテンション+1,official_text_rechecked_or_in_scope
ロウ,3,ユニット,テンションリンク:味方リーダーのテンションの数と同じ効果が発動する。①カードを1枚引く②ランダムな敵1体に2ダメージ、3コストのユニット1体を出す,official_text_rechecked_or_in_scope
亡国の先王ロウ,3,ユニット,れんけい：使用コスト1以上の特技カード2枚を手札に加える。自分がコスト1以上の特技を使用した後、同じコストのランダムなユニットを1体場に出す。,official_text_rechecked_or_in_scope
魅惑のマルティナ,3,ユニット,れんけい：後列にいる全ての敵ユニットを前列に移動させる。スキルリンク：合計7ダメージを敵前列のランダムなマスに振り分ける。,official_text_rechecked_or_in_scope
