pool,name,cost,attack,hp,class,tribe,status,name_in_app_js,tracked_in_implemented_reports,text,official_url
cost2_unit_random_pool,あおだけ童子,2,2,3,商人,なし,OK_TRACKED_IMPLEMENTED,yes,yes,召喚時：このカード以外の自分の手札が6枚以上ある場合攻撃力+2,https://gameconductor.com/dqrivals/c/d/296
cost2_unit_random_pool,あくましんかん,2,2,2,占い師,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,占い：(1)「死亡時：この場所に復活する」を得る(2)におうだちHP+1,https://gameconductor.com/dqrivals/c/d/1003
cost2_unit_random_pool,あくまのす,2,2,3,魔法使い,なし,OK_TRACKED_IMPLEMENTED,yes,yes,自分が特技を使う度このユニットのHP+1,https://gameconductor.com/dqrivals/c/d/951
cost2_unit_random_pool,あくまのめだま,2,2,3,魔法使い,ゾンビ,REVIEW_NAME_MENTIONED_ONLY,yes,no,召喚時：次に場に出る魔王系の味方ユニットにねらい撃ちと攻撃力+1を付与する,https://gameconductor.com/dqrivals/c/d/1080
cost2_unit_random_pool,あくまの書,2,2,2,魔法使い,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,れんけい：自分の手札のコスト2以下のユニットカードを2枚選び、そのコピーを手札に加える。ターン終了時、この効果で加えたカードが手札にあれば破棄する。,https://gameconductor.com/dqrivals/c/d/1256
cost2_unit_random_pool,あばれザル,2,3,2,武闘家,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,絶好調、死亡時：このユニットが絶好調状態ならカードを1枚引く,https://gameconductor.com/dqrivals/c/d/873
cost2_unit_random_pool,あばれ足鳥,2,2,2,占い師,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,占い:(1)速攻と貫通を得る、(2)+1/+1,https://gameconductor.com/dqrivals/c/d/1293
cost2_unit_random_pool,いっかくうさぎ,2,2,1,共通,なし,OK_GENERIC_BASIC_KEYWORD,no,no,速攻,https://gameconductor.com/dqrivals/c/d/6
cost2_unit_random_pool,うみうし,2,2,1,盗賊,なし,OK_TRACKED_IMPLEMENTED,yes,yes,召喚時&手札から捨てた時：1/2のおおなめくじを1体出す,https://gameconductor.com/dqrivals/c/d/1405
cost2_unit_random_pool,おおがらす,2,1,3,魔剣士,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,死亡時：カードを1枚引く,https://gameconductor.com/dqrivals/c/d/354
cost2_unit_random_pool,おおきづち,2,1,3,共通,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,テンションリンク：このターン中攻撃力+2,https://gameconductor.com/dqrivals/c/d/54
cost2_unit_random_pool,おおにわとり,2,2,1,武闘家,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,召喚時：ランダムなコスト2以下の味方建物1つの耐久値+1、味方建物がないなら自分のデッキからコスト2以下の建物カードを1枚引く,https://gameconductor.com/dqrivals/c/d/1362
cost2_unit_random_pool,おおめだま,2,3,2,共通,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,召喚時:全てのユニットのステルスを解除する。解除した数分+1/+2を得る。,https://gameconductor.com/dqrivals/c/d/788
cost2_unit_random_pool,おおドラキー,2,2,2,僧侶,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,ねらい撃ち、召喚時：味方ヒーローがいる場合2/1のドラキーを1体出す,https://gameconductor.com/dqrivals/c/d/844
cost2_unit_random_pool,おにびドングリ,2,2,2,魔剣士,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,召喚時:このターン中ユニットが死亡しているなら魔力開放1枚を手札に加える,https://gameconductor.com/dqrivals/c/d/1300
cost2_unit_random_pool,おばけキノコ,2,2,2,共通,なし,OK_TRACKED_IMPLEMENTED,yes,yes,死亡時：ランダムな敵1体を次のターン攻撃不能にする,https://gameconductor.com/dqrivals/c/d/49
cost2_unit_random_pool,おばけパラソル,2,2,2,商人,なし,OK_TRACKED_IMPLEMENTED,yes,yes,れんけい：敵1体に2ダメージ,https://gameconductor.com/dqrivals/c/d/1282
cost2_unit_random_pool,おむつっこり,2,3,2,共通,なし,OK_TRACKED_IMPLEMENTED,yes,yes,召喚時：HPを2回復,https://gameconductor.com/dqrivals/c/d/56
cost2_unit_random_pool,かくれんぼう,2,2,2,共通,なし,REVIEW_NAME_MENTIONED_ONLY,yes,no,ステルス、れんけい：カードを1枚引く,https://gameconductor.com/dqrivals/c/d/1329
cost2_unit_random_pool,かまいたち,2,2,2,共通,なし,OK_TRACKED_IMPLEMENTED,yes,yes,召喚時：前列にいる他の全てのユニットに1ダメージ,https://gameconductor.com/dqrivals/c/d/1232
cost2_unit_random_pool,かれくさネズミ,2,2,1,商人,なし,OK_TRACKED_IMPLEMENTED,yes,yes,味方ヒーローのヒーロースキルが発動する度メタルスライムを1体出す,https://gameconductor.com/dqrivals/c/d/742
