effect_source,direct_or_recursive,effect,pool,pool_count,sample,status,v234_action,official_note
パピラス,direct deck,れんけい: ランダムなコスト1〜3の自分の職業の特技カード,魔法使いデッキでは魔法使いコスト1〜3特技,32,イオ / メラミ / セクシービーム / 魔力かくせい / 魔力の息吹 / 早詠みの杖 / ヒャダルコ / どくばりの一撃 / やまびこのさとり / ぱふぱふ / 疾風迅雷 / まものの呼び笛 / らせん打ち / 投げキッス / 暴走魔法陣 / ヒップアタック / クロックチャージ / ルカナン / まほうの小ビン / スキルチャージ,patched,職業不明時の全職業フォールバックを廃止し、自分の職業だけ参照,
プチマージ,direct deck,死亡時: ランダムな魔法使いの特技カード,魔法使い特技全体,57,メラ / イオ / メラミ / セクシービーム / メラゾーマ / イオナズン / ヒャド / 凍てつく大地 / 魔力かくせい / 魔力の息吹 / 早詠みの杖 / ヒャダルコ / ピンクタイフーン / どくばりの一撃 / やまびこのさとり / ぱふぱふ / マダンテ / 疾風迅雷 / まものの呼び笛 / フローズンリンク,patched shared helper,addRandomClassSpellToHandV166を公式DB文面どおりの職業特技プールに統一,
コンガオンガ,direct deck,れんけい: 同じ使用コストのランダムなユニットカードを相手手札へ,消滅対象と同じコストの全ユニット,1031,メラゴースト / スライムつむり / ファーラット / いっかくうさぎ / シールドこぞう / リザードマン / くさった死体 / バードファイター / リビングスタチュー / りゅうき兵 / ストーンマン / バアルゼブブ / キラーアーマー / ブラッドハンド / テラノライナー / おにこんぼう / メタルスライム / わらいぶくろ / スライムナイト / なげきムーン,patched shared helper,randomUnitCardByCost/addRandomUnitCardToEnemyHandByCostを共通除外込みに統一,
かみかぜ,direct deck,占い: ランダムなコスト2のユニットを1体出す,全コスト2ユニット,215,いっかくうさぎ / シールドこぞう / リザードマン / メタルスライム / わらいぶくろ / シャドー / ホイミスライム / しにがみ / じんめんじゅ / サーベルきつね / オーク / おばけキノコ / フレイム / たけやりへい / プークプック / リップス / おおきづち / ドロヌーバ / おむつっこり / どくイモムシ,already completed in v233,v233で公式DB突合・残り25件処理済み,
逆転への兆し,direct deck,占い: ランダムなコスト3のユニットを2体出す,全コスト3ユニット,208,くさった死体 / バードファイター / スライムナイト / なげきムーン / ツンドラキー / マドハンド / さまようたましい / ミミック / ゴーレム / ダッシュラン / あやしいかげ / ホークマン / マポレーナ / ミケまどう / ボーンナイト / からくりだいみょう / フェアリードラゴン / ふくまねき / グリゴンダンス / トドマン,already completed in v233,v233で公式DB突合・残り25件処理済み,
イル＆ルカのたまご,direct deck,系統たまご/ドラゴン参照,ドラゴン系ユニット,77,リザードマン / りゅうき兵 / テラノライナー / おにこんぼう / アックスドラゴン / メラリザード / ダッシュラン / フェアリードラゴン / ガメゴン / ドラゴンキッズ / バトルレックス / ドラゴンゾンビ / グレイトドラゴン / キングリザード / ドラゴン / ドラゴンガイア / やまたのおろち / デンデン竜 / リザードフライ / ブラックドラゴン,already completed in v233,ドラゴン系はv233で一巡済み,
スノードラゴン,recursive from dragon pool,召喚時: コスト4/5/6の特技候補から選択,全コスト4/5/6特技,77,もろば斬り / ギガブレイク / ジゴスパーク / おしゃれなバンダナ / 稲妻雷光斬 / メラゾーマ / ピンクタイフーン / フローズンリンク / スライム呼び / ヒャドの極意 / 地這い大蛇 / 神速メラガイアー / 邪悪な祈り / モンスターコイン / マヒャド / まもののツボ / ゴールドフィンガー / 無念無想 / 必中拳 / はげしいおたけび,patched,提示候補を共通の公式DB対象プールに統一,
まじょ,recursive from cost2 pool,選択: 魔法使い特技ランダム,魔法使い特技全体,57,メラ / イオ / メラミ / セクシービーム / メラゾーマ / イオナズン / ヒャド / 凍てつく大地 / 魔力かくせい / 魔力の息吹 / 早詠みの杖 / ヒャダルコ / ピンクタイフーン / どくばりの一撃 / やまびこのさとり / ぱふぱふ / マダンテ / 疾風迅雷 / まものの呼び笛 / フローズンリンク,patched shared helper,職業特技共有helperを使用,
ルイーダ,recursive from cost2 pool,ターン終了時: ランダムな冒険者1枚,全冒険者ユニット,86,ヒューザ / カミュ / アンルシア / ラヴィエル / ガボ / マルティナ / フローラ / デボラ / ビアンカ / シルビア / サンディ / エステラ / ザンクローネ / サンチョ / イザヤール / アモス / パパス / グレイグ / ライアン / 少年テリー,patched bugfix,既存の二重追加を修正し1ターン1枚だけに統一,
変貌のくものきょじん,recursive from cost2 pool,召喚時: 味方をコスト+1ランダムユニットに変身,対象+1コストの全ユニット,1031,メラゴースト / スライムつむり / ファーラット / いっかくうさぎ / シールドこぞう / リザードマン / くさった死体 / バードファイター / リビングスタチュー / りゅうき兵 / ストーンマン / バアルゼブブ / キラーアーマー / ブラッドハンド / テラノライナー / おにこんぼう / メタルスライム / わらいぶくろ / スライムナイト / なげきムーン,patched shared helper,変身先にも共通除外条件を適用。召喚時は発動しない,
