card,status,note
どくばりの一撃,implemented,20%即死/通常1ダメージ
フローズンリンク,implemented_with_note,敵側氷塊隣接チェック
ヒップアタック,implemented,マス地形破壊+ユニット3ダメージ
魔王の号令,implemented,両手札ランダムユニットを場に出す
ベホマラー,implemented,縦列回復+回復数ドロー
魔力の息吹,implemented,2ドロー
ベストスマイル,implemented,双方手札7までドロー
天使の眼差し,implemented,山札最低コストユニット
剣の錬成,implemented_with_note,壊れた武器プールから取得
おまもりコイン,implemented,GET(1)+手札コイン数ぶん軽減
メドローア,implemented,全敵3ダメージ/死亡は消滅
双竜打ち,implemented,敵ユニット3+別敵1
変化の巻物,implemented,横列コスト-1変身
へんげのステッキ,implemented,敵ユニットをコスト-1/冒険者あり-3変身
スピリットリンク,implemented,横列2マスを祝福の聖域
幸運のおまもり,implemented,おうえん+絶好調低コスト出し+味方絶好調復帰
掴み取る未来,implemented,3ドロー後手札1枚を山札上
魔王への忠誠,implemented_with_note,選択2種
裁きの炎,implemented,攻撃力4以下ユニット死亡
稲妻雷光斬,implemented,横列4/他1
スライム呼び,implemented,縦列空きマスにスライム
まもののツボ,implemented_with_note,コスト6-7ユニット3候補から選択+コスト0
覚醒の巻物,implemented,貫通/におうだち/+1/+1+SB
大風の巻物,implemented,敵ユニット戻し+1ドロー
