name,cost,tribe,triggers,status,text
キラーアーマー,6,なし,,basic_keyword_or_no_text,
ブラッドハンド,6,ゾンビ,召喚時,v237_pass1_implemented,召喚時：このユニットの上下にブラッドハンドを出す
テラノライナー,7,ドラゴン,速攻,existing_name_seen_needs_runtime_check,速攻
おにこんぼう,7,ドラゴン,,existing_name_seen_needs_runtime_check,効果なし
ガメゴン,6,ドラゴン,におうだち,existing_name_seen_needs_runtime_check,におうだち
ホロゴースト,6,なし,ステルス,basic_keyword_or_no_text,ステルス
ブラックルーン,7,なし,,basic_keyword_or_no_text,特技ダメージ+2
バロンナイト,6,なし,,basic_keyword_or_no_text,同じ縦1列にいる他のユニットを+1/+1
ブラックチャック,6,なし,,basic_keyword_or_no_text,味方リーダーのテンション分必要なコストが下がる
ヘルゴースト,6,ゾンビ,,basic_keyword_or_no_text,後列から攻撃する場合敵ユニットから反撃を受けない
エビルホーク,6,なし,召喚時/ねらい撃ち,v237_pass1_implemented,ねらい撃ち、召喚時：カードを1枚引く
バーサーカー,6,なし,,basic_keyword_or_no_text,前列の中央にいる場合攻撃力+7
ランプのまじん,6,なし,召喚時,v237_pass1_implemented,召喚時：全ての敵ユニットの位置を前後入れ替える
じごくのつかい,6,なし,,basic_keyword_or_no_text,自分のターン終了時ランダムな敵1体に3ダメージ
アンクルホーン,7,なし,テンションリンク,v238_pass2_implemented_or_hooked,テンションリンク：攻撃力が2倍になる
ドラゴンゾンビ,7,ドラゴン,死亡時,existing_name_seen_needs_runtime_check,死亡時：正面にいる全ての敵ユニットに3ダメージ
トロルキング,7,なし,,basic_keyword_or_no_text,すべてのユニットは受けるダメージが2倍になる。
ガボ,6,冒険者,召喚時/速攻,v237_pass1_implemented,召喚時：速攻3/1のオオカミを出す
ドラゴンガイア,6,ドラゴン,召喚時,existing_name_seen_needs_runtime_check,召喚時：次の相手のターン終了時まで全ての味方は相手の特技ダメージを受けない
エスターク,6,魔王,,basic_keyword_or_no_text,このユニットのHPが減っていない場合攻撃できない そのかわりに自分のターン終了時このユニットを除く全てのリーダーとユニットに1ダメージ
やまたのおろち,6,ドラゴン,召喚時,existing_name_seen_needs_runtime_check,召喚時：味方ユニット1体を死亡させる そのユニットのコスト分攻撃力とHPが上がる
ハーゴン,6,魔王,召喚時,existing_name_seen_needs_runtime_check,召喚時：冒険者ユニット1体を1/1の犬に変える
マルティナ,6,冒険者,召喚時,existing_name_seen_needs_runtime_check,召喚時：合計7ダメージを縦1列のランダムなマスに割り振る
