name,cost,tribe,text,status,v239_fix
テラノライナー,7,ドラゴン,速攻,basic_keyword_or_no_effect_confirmed,
おにこんぼう,7,ドラゴン,効果なし,basic_keyword_or_no_effect_confirmed,
ガメゴン,6,ドラゴン,におうだち,basic_keyword_or_no_effect_confirmed,
ドラゴンゾンビ,7,ドラゴン,死亡時：正面にいる全ての敵ユニットに3ダメージ,existing_code_path_confirmed,
ドラゴンガイア,6,ドラゴン,召喚時：次の相手のターン終了時まで全ての味方は相手の特技ダメージを受けない,existing_code_path_confirmed,
やまたのおろち,6,ドラゴン,召喚時：味方ユニット1体を死亡させる そのユニットのコスト分攻撃力とHPが上がる,existing_code_path_confirmed,
ハーゴン,6,魔王,召喚時：冒険者ユニット1体を1/1の犬に変える,existing_code_path_confirmed,
マルティナ,6,冒険者,召喚時：合計7ダメージを縦1列のランダムなマスに割り振る,v239_hardened,召喚時の縦1列ランダムマス7点を明示処理に追加
りゅうおう,7,魔王,死亡時：正体をあらわす,existing_code_path_confirmed,
デンデン竜,6,ドラゴン,におうだち、おうえん,basic_keyword_or_no_effect_confirmed,
ブラックドラゴン,7,ドラゴン,召喚時:ランダムな敵ユニット1体に1ダメージ。このカードを除く自分の場と手札にいるドラゴン系の数の3倍分与えるダメージが増える。,existing_code_path_confirmed,
ドラゴンロード,6,ドラゴン,場に出ている間、このユニットを除くドラゴン系の味方ユニット全てを+1/+1。場に出ている間、自分の手札にあるドラゴン系ユニットカードの使用コスト-1。,existing_code_path_confirmed,
覇海軍王ジャコラ,6,なし,におうだち、召喚時：このターン中すべてのユニットが受ける戦闘ダメージが2倍になる,existing_code_path_confirmed,
全てを滅ぼす者ゾーマ,7,魔王,超貫通,basic_keyword_or_no_effect_confirmed,
ミリオンゼニー,6,なし,自分のターン終了時にGET(1)。この効果は毎ターン発動する。BET：死亡時にGET(2)をこのユニットに付与する。このBET効果は重複しない。,existing_code_path_confirmed,
グレイトマムー,6,なし,れんけい：敵ユニット1体に5ダメージ,existing_code_path_confirmed,
ウルノーガ&ウルナーガ,7,魔王,れんけい：前列に召喚した場合、正面にいるランダムな敵ユニット1体を消滅させる。後列に召喚した場合、攻撃力6以上の他ユニット全てを死亡させる。,existing_code_path_confirmed,
エルギオス,7,魔王,ねらい撃ち、召喚時：このユニットに4回さくせんを出す,existing_code_path_confirmed,
アトラス,6,なし,攻撃時：このターン中味方リーダーの攻撃力分攻撃力が上がる,existing_code_path_confirmed,
まかいファイター,6,ドラゴン,召喚時：GET(1)、BET：このターン中味方リーダーの攻撃力+1、このBETが4回発動する度まかいファイターを1体だす,existing_code_path_confirmed,
アイラ,6,冒険者,召喚時：GET(2)。BET：ランダムな武器を味方リーダーに装備する。,existing_code_path_confirmed,
オリハルゴン,7,ドラゴン,自分のターン中味方リーダーは攻撃力+3を得る。前列にいる場合味方リーダーが受けるダメージ-2,existing_code_path_confirmed,
ようじゅつし,6,なし,自分が特技を使う度ランダムな敵1体に2ダメージ,existing_code_path_confirmed,
バーバラ,6,冒険者,召喚時:残りMPを全て消費する。 全ての敵に消費したMPの数分ダメージを与える。,existing_code_path_confirmed,
アークマージ,6,なし,この対戦の間ヒーロースキルが発動した回数分攻撃力+1を得る。このユニットの攻撃力が5以上の場合さらに特技ダメージ+2を得る。,existing_code_path_confirmed,
