name,status,note
うごくせきぞう,implemented_v242,正面敵ユニット不在時は攻撃不可
デボラ,implemented_v242,スキルリンクで手札レアリティ上昇変換
デザートゴースト,implemented_v242,前列時ドローで+1/+1
トロデ,implemented_v242_guarded,プラス系単体特技/道具のみコピー
エビルドライブ,implemented_v242,占い2択
おばけトマト,implemented_v242,占い2択・対象モーダル
メタルドラゴン,implemented_v242,絶好調と占い2択
リゼロッタ&ルコリア,implemented_v242,占い2択・死亡プール/手札山札バフ
セニカ,implemented_v242,れんけい
まおうのつかい,implemented_v242,味方被ダメ時攻撃+2
じごくのざりがに,implemented_v242,ピサロナイト場出し時回復
地獄の帝王エスターク,implemented_v242,満タン時弱体・同時ダメージ
エッグラ&チキーラ,implemented_v242_local_guess,相手予想はローカルテストモーダル
マリンフェアリー,hardened_v242,復活候補3種選択化
フォレスドン,hardened_v242,復活候補3種選択化
ゲマ,hardened_v242,相手ドロー時コスト+1/2ダメージ
追撃のキラーマシン,hardened_v242,さくせん後ランダム敵2ダメージ最大2回
