id,name,cost,cardType,classes,tribes,deckBuildable,text,triggers,appNameOccurrences,genericCoverage,complexScore,risk,officialUrl
token_slime_1_1,スライム,1,ユニット,共通,スライム,False,,,182,no_text,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/1
token_slime_bess_2_1,スライムベス,1,ユニット,共通,スライム,False,,,4,no_text,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/2
card_a7a6eabe,メラゴースト,1,ユニット,共通,なし,True,召喚時：1ダメージを与える,召喚時|ダメージ,2,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/3
card_20ad0865,スライムつむり,1,ユニット,共通,スライム,True,におうだち,,0,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/4
card_1244e07b,ファーラット,1,ユニット,共通,なし,True,速攻,,4,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/5
card_358aa630,いっかくうさぎ,2,ユニット,共通,なし,True,速攻,,1,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/6
card_55f66785,シールドこぞう,2,ユニット,共通,なし,True,におうだち,,0,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/7
card_85b5c424,リザードマン,2,ユニット,共通,ドラゴン,True,効果なし,,1,,0,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/8
card_e96efcff,くさった死体,3,ユニット,共通,ゾンビ,True,召喚時：敵リーダーの武器を破壊する,召喚時,1,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/9
card_bcebacb6,バードファイター,3,ユニット,共通,なし,True,,,1,no_text,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/10
card_88bf04ae,リビングスタチュー,4,ユニット,共通,なし,True,におうだち,,0,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/11
card_d02ff3e5,りゅうき兵,4,ユニット,共通,ドラゴン,True,効果なし,,2,,0,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/12
card_c99c6450,ストーンマン,5,ユニット,共通,なし,True,におうだち,,0,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/13
card_14ea7bec,バアルゼブブ,5,ユニット,共通,なし,True,召喚時：敵リーダーに3ダメージ,召喚時|ダメージ,1,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/14
card_0996b970,キラーアーマー,6,ユニット,共通,なし,True,,,0,no_text,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/15
card_849c9084,ブラッドハンド,6,ユニット,共通,ゾンビ,True,召喚時：このユニットの上下にブラッドハンドを出す,召喚時,2,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/16
card_3ced797c,テラノライナー,7,ユニット,共通,ドラゴン,True,速攻,,1,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/17
card_9f518d14,おにこんぼう,7,ユニット,共通,ドラゴン,True,効果なし,,5,,0,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/18
card_d40564aa,メタルスライム,2,ユニット,共通,スライム,True,メタルボディ,,7,,0,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/19
card_08f55531,わらいぶくろ,2,ユニット,共通,なし,True,召喚時：カードを1枚引く,召喚時|カードを1枚引く,2,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/20
