id,name,cost,cardType,classes,tribes,deckBuildable,text,triggers,appNameOccurrences,genericCoverage,complexScore,risk,officialUrl
card_471ba4e7,ドラキー,1,ユニット,共通,なし,True,ねらい撃ち,,21,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/31
card_f78f7523,ゴースト,1,ユニット,共通,ゾンビ,True,自身が攻撃するまで敵の攻撃や効果の対象にならない,,13,,0,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/34
card_833eefb3,メラリザード,1,ユニット,共通,ドラゴン,True,貫通,,14,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/40
card_bab58015,ホイミスライム,2,ユニット,共通,スライム,True,自分のターン終了時ダメージを受けている他の味方1体のHPを2回復,自分のターン終了時|ダメージ|回復,9,,0,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/44
card_768acf21,よるのていおう,2,ユニット,共通,なし,True,テンションリンク：後列にいるランダムな敵ユニット1体を前列のランダムな空きマスに移動させる,テンションリンク|ランダム,9,,2,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/62
card_42d3e59b,ミミック,3,ユニット,共通,なし,True,死亡時：相手はカードを引く,死亡時|カードを引く,10,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/65
card_34442b7d,ガメゴン,6,ユニット,共通,ドラゴン,True,におうだち,,9,basic_keyword_generic,0,LOW_NO_EFFECT_OR_BASIC,https://gameconductor.com/dqrivals/c/d/86
card_f9b880a8,キメラ,2,ユニット,共通,なし,True,召喚時：ユニット1体の位置を前後に入れ替える,召喚時,8,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/93
card_7be4965e,メタルキング,5,ユニット,共通,スライム,True,速攻、メタルボディ、テンションリンク：自分の手札に戻る,テンションリンク,10,keyword,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/135
card_ba8c67df,ドラゴン,3,ユニット,共通,ドラゴン,True,死亡時：相手の手札に王女の愛を加える,死亡時,165,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/146
card_80caa95f,アンルシア,5,ユニット,共通,冒険者,True,召喚時：攻撃力5以上の敵ユニット1体を攻撃力0にする,召喚時,10,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/150
card_36833618,ドラゴンガイア,6,ユニット,共通,ドラゴン,True,召喚時：次の相手のターン終了時まで全ての味方は相手の特技ダメージを受けない,召喚時|相手のターン終了時|ダメージ,10,,4,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/153
card_595112e0,マルティナ,6,ユニット,共通,冒険者,True,召喚時：合計7ダメージを縦1列のランダムなマスに割り振る,召喚時|ダメージ|ランダム,11,,2,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/157
card_74b5ecf8,りゅうおう,7,ユニット,共通,魔王,True,死亡時：正体をあらわす,死亡時,8,,1,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/159
card_494e86cf,バラモス,8,ユニット,共通,魔王,True,特技ダメージ+3、死亡時：次に召喚するユニットのコスト-4,死亡時|ダメージ|コスト,10,,3,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/160
card_22190279,シドー,9,ユニット,共通,魔王,True,召喚時：このユニットを除く全てのユニットに4ダメージ,召喚時|ダメージ,24,,2,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/162
card_c30bd47a,ゾーマ,9,ユニット,共通,魔王,True,召喚時：闇の衣を得る 相手デッキの一番上に光の玉が置かれる,召喚時,10,,2,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/163
card_0ef7493c,デボラ,5,ユニット,共通,冒険者,True,スキルリンク：自分の手札は全てレアリティが１つ上の別のカードに変わる,スキルリンク,11,,2,MEDIUM_IMPLEMENTED_NAME_PRESENT,https://gameconductor.com/dqrivals/c/d/376
