deck,card,type,ok,error,bad
イレブンテリー,しっぷう突き,特技,True,,
イレブンテリー,とげぼうず,ユニット,True,,
イレブンテリー,勇者イレブン,ヒーロー,True,,
イレブンテリー,アルゴリザード,ユニット,True,,
イレブンテリー,トンネラー,ユニット,True,,
イレブンテリー,かくれんぼう,ユニット,True,,
イレブンテリー,ナイトキング,ユニット,True,,
イレブンテリー,わたぼう,ユニット,True,,
イレブンテリー,ブラッドレディ,ユニット,True,,
イレブンテリー,シーゴーレム,ユニット,True,,
イレブンテリー,ラプソーン,ユニット,True,,
イレブンテリー,最後の砦の英雄グレイグ,ユニット,True,,
イレブンテリー,コンガオンガ,ユニット,True,,
イレブンテリー,フェイスボール,ユニット,True,,
イレブンテリー,メルビン,ユニット,True,,
イレブンテリー,ギュメイ将軍,ユニット,True,,
イレブンテリー,シュプリンガー,ユニット,True,,
イレブンテリー,グレイトマムー,ユニット,True,,
イレブンテリー,いなずまのけん,武器,True,,
イレブンテリー,ウルノーガ&ウルナーガ,ユニット,True,,
ドラゴンタバサミネア,魂の写し身,特技,True,,
ドラゴンタバサミネア,タバサ,ヒーロー,True,,
ドラゴンタバサミネア,風の導き,特技,True,,
ドラゴンタバサミネア,銀のタロット,特技,True,,
ドラゴンタバサミネア,クロウズ,ユニット,True,,
ドラゴンタバサミネア,バルーンコール,特技,True,,
ドラゴンタバサミネア,かみかぜ,特技,True,,
ドラゴンタバサミネア,バルンバ,ユニット,True,,
ドラゴンタバサミネア,太陽のタロット,特技,True,,
ドラゴンタバサミネア,サイコロン,ユニット,True,,
ドラゴンタバサミネア,キースドラゴン,ユニット,True,,
ドラゴンタバサミネア,死神のタロット,特技,True,,
ドラゴンタバサミネア,イブール,ユニット,True,,
ドラゴンタバサミネア,ゾディアックコード,特技,True,,
ドラゴンタバサミネア,逆転への兆し,特技,True,,
ドラゴンタバサミネア,召竜の儀式,特技,True,,
ドラゴンタバサミネア,しんりゅう,ユニット,True,,
ドラゴンタバサミネア,タロットフォーチュン,特技,True,,
イルルカドラゴンゼシカ,メラ,特技,True,,
イルルカドラゴンゼシカ,パピラス,ユニット,True,,
イルルカドラゴンゼシカ,イル＆ルカ,ヒーロー,True,,
イルルカドラゴンゼシカ,メラミ,特技,True,,
イルルカドラゴンゼシカ,とさかヘビ,ユニット,True,,
イルルカドラゴンゼシカ,リザードキッズ,ユニット,True,,
イルルカドラゴンゼシカ,デンタザウルス,ユニット,True,,
イルルカドラゴンゼシカ,乙女の気まぐれ,特技,True,,
イルルカドラゴンゼシカ,氷竜への祈り,特技,True,,
イルルカドラゴンゼシカ,アルゴングレート,ユニット,True,,
イルルカドラゴンゼシカ,サウルスロード,ユニット,True,,
イルルカドラゴンゼシカ,メラゾーマ,特技,True,,
イルルカドラゴンゼシカ,ギガントドラゴン,ユニット,True,,
イルルカドラゴンゼシカ,ガメゴンロード,ユニット,True,,
イルルカドラゴンゼシカ,竜将ドラゴンガイア,ユニット,True,,
イルルカドラゴンゼシカ,ドラゴンブッシュ,ユニット,True,,
デボラトルネコ,商人の交換所,特技,True,,
デボラトルネコ,コインのたね,特技,True,,
デボラトルネコ,とげぼうず,ユニット,True,,
デボラトルネコ,プチファイター,ユニット,True,,
デボラトルネコ,ケダモン,ユニット,True,,
デボラトルネコ,ぷちメタル,ユニット,True,,
デボラトルネコ,くらやみハーピー,ユニット,True,,
デボラトルネコ,ベホイミスライム,ユニット,True,,
デボラトルネコ,天空の花嫁デボラ,ヒーロー,True,,
デボラトルネコ,ルドマン,ユニット,True,,
デボラトルネコ,怪獣プスゴン,ユニット,True,,
デボラトルネコ,ラプソーン,ユニット,True,,
デボラトルネコ,黄金兵,ユニット,True,,
デボラトルネコ,痛みわけの杖,特技,True,,
デボラトルネコ,ブラバニクイーン,ユニット,True,,
デボラトルネコ,福招きのそろばん,武器,True,,
デボラトルネコ,マデサゴーラ,ユニット,True,,
デボラトルネコ,ハンフリー,ユニット,True,,
デボラトルネコ,レッドプレデター,ユニット,True,,
デボラトルネコ,ゴールデンタイタス,ユニット,True,,
